id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,pemilik_menara,lokasi_menara,long,lat,struktur_tower,tinggi_tower,keterangan,satuan,tahun
424,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,NATRINDO TELEPON SELULER,JL. KAPTEN. ABD. HAMID,107.5973,-6.866115,MONOPOLE,36,-,METER,2017
425,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TOWER BERSAMA GROUP,JL. HEGARMANAH NO. 152/ RT03/03,107.600886,-6.866391,KAMUFLASE POHON,32,-,METER,2017
426,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SOLUSI TUNAS PRATAMA,JL. SETIA BUDI,107.594686,-6.872192,4 KAKI,25,-,METER,2017
427,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,XL AXIATA,JL. SETIA BUDI,107.594577,-6.872302,3 KAKI,25,-,METER,2017
428,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,"SINDO TRIJAYA 91,3 FM",JL. SETIA BUDI NO. 170 B1,107.594737,-6.872723,4 KAKI,25,-,METER,2017
429,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TELKOMSEL,JL. SETIA BUDI,107.596029,-6.87358,MONOPOLE,36,-,METER,2017
430,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,INDOSAT,JL. SETIA BUDI,107.597135,-6.874827,COMBAT,2,-,METER,2017
431,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,XL AXIATA,JL. PETA,107.588296,-6.92995,4 KAKI,25,-,METER,2017
432,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,PEMANCAR RADIO RRT,JL. CIUMBULEUIT ATAS (PUNCLUT),107.613186,-6.851769,4 KAKI,30,-,METER,2017
433,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,XL AXIATA,JL. CIMAJA RT 02/10,107.611868,-6.855277,4 KAKI,25,-,METER,2017
434,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SOLUSI TUNAS PRATAMA,JL. CIUMBULEUIT ATAS,107.606265,-6.86256,3 KAKI,35,-,METER,2017
